DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655361123776,1655361123778,4,1655361123778,41,4,5,0,0,0
DEVICE,1655361123807,1655361123809,4,1655361123809,43,4,5,0,0,0
DEVICE,1655361123839,1655361123841,4,1655361123841,42,4,5,0,0,0
DEVICE,1655361123871,1655361123873,4,1655361123873,41,4,5,0,0,0
DEVICE,1655361123903,1655361123905,4,1655361123905,43,4,5,0,0,0
DEVICE,1655361123935,1655361123937,4,1655361123937,43,4,5,0,0,0
DEVICE,1655361123967,1655361123969,4,1655361123969,43,4,5,0,0,0
DEVICE,1655361123999,1655361124001,4,1655361124001,44,4,5,0,0,0
DEVICE,1655361124031,1655361124033,4,1655361124033,43,4,5,0,0,0
DEVICE,1655361124063,1655361124065,4,1655361124065,44,4,5,0,0,0
DEVICE,1655361124096,1655361124098,4,1655361124098,46,4,5,0,0,0
DEVICE,1655361124127,1655361124129,4,1655361124129,41,4,5,0,0,0
DEVICE,1655361124159,1655361124161,4,1655361124161,42,4,5,0,0,0
DEVICE,1655361124191,1655361124193,4,1655361124193,41,4,5,0,0,0
DEVICE,1655361124223,1655361124225,4,1655361124225,41,4,5,0,0,0
DEVICE,1655361124255,1655361124257,4,1655361124257,44,4,5,0,0,0
DEVICE,1655361124286,1655361124288,4,1655361124288,44,4,5,0,0,0
DEVICE,1655361124319,1655361124321,4,1655361124321,44,4,5,0,0,0
DEVICE,1655361124351,1655361124353,4,1655361124353,44,4,5,0,0,0
DEVICE,1655361124383,1655361124385,4,1655361124385,43,4,5,0,0,0
DEVICE,1655361124415,1655361124417,4,1655361124417,43,4,5,0,0,0
DEVICE,1655361124447,1655361124449,4,1655361124449,42,4,5,0,0,0
DEVICE,1655361124479,1655361124481,4,1655361124481,44,4,5,0,0,0
DEVICE,1655361124511,1655361124513,4,1655361124513,45,4,5,0,0,0
DEVICE,1655361124543,1655361124545,4,1655361124545,44,4,5,0,0,0
DEVICE,1655361124575,1655361124577,4,1655361124577,42,4,5,0,0,0
DEVICE,1655361124607,1655361124609,4,1655361124609,42,4,5,0,0,0
DEVICE,1655361124639,1655361124641,4,1655361124641,43,4,5,0,0,0
DEVICE,1655361124671,1655361124673,4,1655361124673,42,4,5,0,0,0
DEVICE,1655361124703,1655361124705,4,1655361124705,44,4,5,0,0,0
DEVICE,1655361124735,1655361124737,4,1655361124737,43,4,5,0,0,0
DEVICE,1655361124767,1655361124769,4,1655361124769,42,4,5,0,0,0
