Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1648115684646,1648115685305,4,0,0.193,0.163,-0.967,-0.162,-0.035,0.017
AIRPOT,1648115684655,1648115685314,4,0,0.195,0.169,-0.966,-0.160,-0.068,0.004
AIRPOT,1648115684562,1648115685221,4,0,0.208,0.168,-0.964,-0.186,-0.047,0.152
AIRPOT,1648115684576,1648115685235,4,0,0.199,0.164,-0.966,-0.178,-0.034,0.085
AIRPOT,1648115684722,1648115685381,4,0,0.200,0.179,-0.963,-0.156,-0.046,0.016
AIRPOT,1648115684735,1648115685394,4,0,0.205,0.191,-0.960,-0.110,-0.008,0.074
AIRPOT,1648115684803,1648115685462,4,0,0.211,0.201,-0.957,-0.099,0.033,0.088
AIRPOT,1648115684830,1648115685489,4,0,0.222,0.211,-0.952,-0.118,0.053,0.117
AIRPOT,1648115684856,1648115685515,4,0,0.222,0.220,-0.950,-0.115,0.017,-0.132
AIRPOT,1648115684916,1648115685575,4,0,0.227,0.238,-0.944,0.007,0.024,-0.313
AIRPOT,1648115684961,1648115685620,4,0,0.241,0.250,-0.938,0.129,-0.086,-0.215
AIRPOT,1648115684975,1648115685634,4,0,0.260,0.248,-0.933,0.095,-0.144,-0.009
AIRPOT,1648115685041,1648115685700,4,0,0.265,0.222,-0.938,0.119,-0.272,0.097
AIRPOT,1648115685053,1648115685712,4,0,0.248,0.186,-0.951,0.178,-0.189,0.104
AIRPOT,1648115685095,1648115685754,4,0,0.217,0.155,-0.964,0.181,-0.071,0.071
AIRPOT,1648115685155,1648115685814,4,0,0.180,0.131,-0.975,0.170,-0.032,0.022
AIRPOT,1648115685172,1648115685831,4,0,0.152,0.110,-0.982,0.162,-0.048,0.026
AIRPOT,1648115685291,1648115685950,4,0,0.125,0.080,-0.989,0.108,-0.093,0.051
AIRPOT,1648115685217,1648115685876,4,0,0.135,0.093,-0.986,0.116,-0.059,0.070
AIRPOT,1648115685310,1648115685969,4,0,0.120,0.069,-0.990,0.102,-0.043,0.043
AIRPOT,1648115685338,1648115685997,4,0,0.117,0.059,-0.991,0.096,-0.024,0.070
AIRPOT,1648115685373,1648115686032,4,0,0.113,0.049,-0.992,0.102,-0.030,0.071
AIRPOT,1648115685412,1648115686071,4,0,0.108,0.041,-0.993,0.130,0.003,0.021
AIRPOT,1648115685455,1648115686114,4,0,0.106,0.033,-0.994,0.133,0.027,-0.023
AIRPOT,1648115685522,1648115686181,4,0,0.101,0.028,-0.994,0.138,-0.094,-0.378
AIRPOT,1648115685535,1648115686194,4,0,0.103,0.023,-0.994,0.035,0.058,-0.054
AIRPOT,1648115685577,1648115686236,4,0,0.094,0.017,-0.995,-0.017,0.086,0.050
AIRPOT,1648115685619,1648115686278,4,0,0.083,0.008,-0.997,0.014,0.036,0.034
AIRPOT,1648115685680,1648115686339,4,0,0.080,-0.005,-0.997,-0.001,-0.046,0.060
AIRPOT,1648115685698,1648115686357,4,0,0.078,-0.018,-0.997,-0.033,-0.020,0.042
AIRPOT,1648115685733,1648115686392,4,0,0.070,-0.029,-0.997,-0.040,0.043,-0.022
AIRPOT,1648115685792,1648115686451,4,0,0.061,-0.033,-0.998,-0.047,0.053,-0.050
